Title,Description
Lake Compounce trip,Join SET off campus event at Lake Compounce’s Fright Fest! $10 per ticket
Pop up Magician,Find the wandering magician on campus in Linda's dining hall!
Cooking with Chef,Join SET cooking class and make street tacos with salsa!
Winter Cookies & Crafts,Join SET munching on scrumptious cookies while crafting your very own snowman!
Summer Camp Night,"Join SET on the lawn to watch the Parent Trap, make friendship bracelets, and eat s'mores!"
Gilmore Girls Night,Join SET painting sign art and watching Gilmore Girls!
Sundaes & Succulents,Join SET for a sweet treat and a new plant companion!
Gators & Taters,Join SET grab a gator stuff-a-bear and enjoy our tater tot bar!
Grammy’s Watch Party,Join SET at Red’s for free food and to celebrate music’s biggest night!
Laser Tag,Join SET for candy bags and laser tag with friends!
Pre-Game Party,Join SET for free game day snacks before the football game!
St. Patrick’s Day Party,Join SET at their St. Patty’s Day party with a photobooth!
SHU Vintage Flea Market,Join SET to grab some free SHU vintage merch!
Coffee House,Join SET for a music filled coffee house event with paint by numbers activities and live music!
Root & Refresh,Join SET to make your own bonsai tree and enjoy a Starbucks refresher!
Bounce into Fall,Join SET on an off campus trip to skyzone to start the semester on a high! $5 tickets
Spreading the Love,Join SET to try to score a goal like your in the world cup and enjoy some truffles!
Brazil,Join SET to try to score a goal like your in the world cup and enjoy some truffles!
Thankful For You,"Join SET in making thanksgiving cards and bracelets, and enjoy a charcuterie board!"
Easter Fest,Join SET in decorating eggs and enjoying a candy bar
